PREC,PREC,PREC,TEMP,UMID_MIN,UMID_MAX,RAD,PORT
0.0,0.0,0.0,-5.0,83.0,84.0,0.0,-0.06
0.0,0.0,0.0,-5.1,84.0,86.0,0.0,-0.06
0.0,0.0,0.0,-5.1,85.0,85.0,0.0,-0.05
0.0,0.0,0.0,-5.4,86.0,87.0,0.0,-0.06
0.0,0.0,0.0,-5.3,87.0,88.0,0.0,-0.06
0.0,0.0,0.0,-5.4,86.0,87.0,0.0,-0.06
0.0,0.0,0.0,-5.4,87.0,88.0,0.0,-0.07
0.0,0.0,0.0,-5.4,88.0,88.0,0.0,-0.07
0.0,0.0,0.0,-5.2,88.0,90.0,0.0,-0.06
0.0,0.0,0.0,-4.6,87.0,87.0,0.132,-0.08
0.0,0.0,0.0,-3.2,84.0,87.0,0.571,-0.08
0.0,0.0,0.0,-2.3,82.0,83.0,0.935,-0.09
0.0,0.0,0.0,-1.2,81.0,82.0,1.136,-0.1
0.0,0.0,0.0,1.8,59.0,81.0,1.243,-0.08
0.0,0.0,0.0,5.6,47.0,57.0,0.992,-0.07
0.0,0.0,0.0,5.8,47.0,52.0,0.477,-0.07
0.0,0.0,0.0,5.7,49.0,52.0,0.213,-0.07
0.0,0.0,0.0,2.1,56.0,71.0,0.025,-0.08
0.0,0.0,0.0,-0.4,74.0,81.0,0.0,-0.07
0.0,0.0,0.0,-1.5,81.0,84.0,0.0,-0.07
0.0,0.0,0.0,-2.2,85.0,86.0,0.0,-0.06
0.0,0.0,0.0,-2.5,87.0,88.0,0.0,-0.07
0.0,0.0,0.0,-3.4,87.0,89.0,0.0,-0.07
0.0,0.0,0.0,-3.4,90.0,91.0,0.0,-0.07
0.0,0.0,0.0,-3.7,90.0,92.0,0.0,-0.07
0.0,0.0,0.0,-3.7,91.0,92.0,0.0,-0.07
0.0,0.0,0.0,-3.9,92.0,93.0,0.0,-0.07
0.0,0.0,0.0,-3.9,92.0,93.0,0.0,-0.07
0.0,0.0,0.0,-4.3,93.0,94.0,0.0,-0.08
0.0,0.0,0.0,-4.5,93.0,94.0,0.0,-0.07
0.0,0.0,0.0,-4.5,93.0,94.0,0.0,-0.07
0.0,0.0,0.0,-4.9,93.0,94.0,0.0,-0.08
0.0,0.0,0.0,-4.8,93.0,94.0,0.0,-0.07
0.0,0.0,0.0,-2.9,93.0,94.0,0.038,-0.07
0.0,0.0,0.0,-0.4,88.0,92.0,0.207,-0.07
0.0,0.0,0.0,1.8,72.0,85.0,0.389,-0.08
0.0,0.0,0.0,3.3,65.0,67.0,0.264,-0.07
0.0,0.0,0.0,4.8,54.0,58.0,0.314,-0.07
0.0,0.0,0.0,5.3,54.0,62.0,0.289,-0.07
0.0,0.0,0.2,4.9,55.0,71.0,0.1,-0.06
0.0,0.0,1.0,3.3,76.0,89.0,0.0,-0.06
0.2,0.0,0.4,2.7,91.0,94.0,0.0,-0.06
0.4,0.6,1.0,2.4,94.0,95.0,0.0,-0.06
1.2,0.8,2.2,2.3,96.0,96.0,0.0,-0.06
1.8,1.8,2.8,2.3,96.0,97.0,0.0,-0.06
1.8,1.8,2.6,2.5,97.0,98.0,0.0,-0.06
2.6,2.2,2.8,2.7,98.0,98.0,0.0,-0.05
2.8,2.8,2.4,2.8,98.0,98.0,0.0,-0.05
3.2,2.8,2.8,3.2,98.0,99.0,0.0,-0.05
0.2,0.8,2.6,4.0,99.0,99.0,0.0,-0.05
0.2,0.0,0.0,3.9,99.0,99.0,0.0,-0.04
0.0,0.0,0.0,4.0,99.0,99.0,0.0,-0.04
0.0,0.0,0.0,4.1,99.0,99.0,0.0,-0.04
0.0,0.0,0.0,3.6,98.0,99.0,0.0,-0.04
0.0,0.0,0.0,2.9,98.0,99.0,0.0,-0.04
0.0,0.0,0.0,1.9,98.0,99.0,0.0,-0.04
0.0,0.0,0.0,0.8,98.0,99.0,0.0,-0.03
0.0,0.0,0.0,0.1,98.0,98.0,0.1,-0.03
0.0,0.0,0.0,-0.1,98.0,98.0,0.546,-0.04
0.0,0.0,0.0,0.2,98.0,99.0,0.979,-0.05
0.0,0.0,0.0,0.8,98.0,99.0,1.261,-0.07
0.0,0.0,0.0,3.7,98.0,100.0,1.324,-0.05
0.0,0.0,0.0,5.0,91.0,98.0,1.236,-0.05
0.0,0.0,0.0,3.9,91.0,92.0,0.508,-0.06
0.0,0.0,0.0,6.3,87.0,96.0,0.182,-0.06
0.0,0.0,0.0,4.6,85.0,89.0,0.019,-0.06
0.0,0.0,0.0,1.6,91.0,94.0,0.0,-0.05
0.0,0.0,0.0,0.6,95.0,96.0,0.0,-0.04
0.0,0.0,0.0,0.2,96.0,97.0,0.0,-0.04
0.0,0.0,0.0,0.2,97.0,97.0,0.0,-0.04
0.0,0.0,0.0,-0.3,96.0,97.0,0.0,-0.04
0.0,0.0,0.0,-0.4,97.0,98.0,0.0,-0.04
0.0,0.0,0.0,-0.3,97.0,98.0,0.0,-0.05
0.0,0.0,0.0,-0.6,97.0,98.0,0.0,-0.05
0.0,0.0,0.0,-1.3,97.0,97.0,0.0,-0.05
0.0,0.0,0.0,-1.5,97.0,97.0,0.0,-0.06
0.0,0.0,0.0,-1.6,97.0,98.0,0.0,-0.05
0.0,0.0,0.0,-1.7,97.0,98.0,0.0,-0.06
0.0,0.0,0.0,-2.1,97.0,98.0,0.0,-0.06
0.0,0.0,0.0,-2.4,97.0,98.0,0.0,-0.06
0.0,0.0,0.0,-1.5,98.0,98.0,0.0,-0.05
0.0,0.0,0.0,-0.4,98.0,98.0,0.056,-0.05
0.0,0.0,0.0,0.4,98.0,98.0,0.195,-0.06
0.0,0.0,0.0,1.1,98.0,99.0,0.308,-0.06
0.0,0.0,0.0,2.2,99.0,99.0,0.333,-0.06
0.0,0.0,0.0,3.5,99.0,99.0,0.408,-0.06
0.0,0.0,0.0,4.7,96.0,99.0,0.32,-0.06
0.0,0.0,0.0,5.0,85.0,95.0,0.32,-0.06
0.0,0.0,0.0,4.6,85.0,87.0,0.182,-0.06
0.0,0.0,0.0,2.9,88.0,92.0,0.013,-0.07
0.0,0.0,0.0,1.5,92.0,94.0,0.0,-0.06
0.0,0.0,0.0,0.5,94.0,94.0,0.0,-0.06
0.0,0.0,0.0,-0.5,94.0,95.0,0.0,-0.06
0.0,0.0,0.0,-1.0,94.0,95.0,0.0,-0.07
0.0,0.0,0.0,-1.5,93.0,94.0,0.0,-0.07
0.0,0.0,0.0,-1.8,89.0,92.0,0.0,-0.07
